GARES_ID,MODE_,LIGNE,NOM_GARE,ID_REFA_LDA
99,Metro,10,Boulogne-Jean Jaur?s,71147
107,Metro,5,Br?guet-Sabin,73621
94,Metro,8,Boucicaut,412992
229,Train,LIGNE P,CROUY-SUR-OURCQ,69435
97,RER,RER C,BOULAINVILLIERS,71229
102,RER,RER B,BOURG-LA-REINE,70033
17,Train,LIGNE J,ANDR?SY,65542
73,RER,RER C,BI?VRES,63404
101,RER,RER C,BOURAY,59830
20,RER,RER B,ANTONY,69759
3,RER,RER C,ABLON,69554
105,RER,RER D,BOUSSY-SAINT-ANTOINE,62596
33,Train,LIGNE J,AUBERGENVILLE-?LISABETHVILLE,65490
219,RER,RER B,COURCELLE-SUR-YVETTE,62951
238,Train,LIGNE H,DEUIL-MONTMAGNY,65562
235,RER,RER B,DENFERT-ROCHEREAU,71056
22,RER,RER B,ARCUEIL-CACHAN,70263
29,Train,LIGNE J,ASNI?RES,72132
41,RER,RER C,AV. FOCH,73795
26,RER,RER C,ARPAJON,60072
259,Train,LIGNE H,?PINAY-VILLETANEUSE,65227
117,RER,RER D,BUNO-GIRONVILLE,59447
288,Train,LIGNE N,FONTENAY-LE-FLEURY,63999
966,RER,RER E,GRETZ-ARMAINVILLIERS,67658
287,RER,RER B,FONTENAY-AUX-ROSES,70133
286,RER,RER B,FONTAINE-MICHALON,69647
296,Train,LIGNE H,FR?PILLON,66798
326,RER,RER C,GENNEVILLIERS,72303
338,Train,LIGNE H,GROSLAY,65749
274,RER,RER C,?TR?CHY,59678
337,RER,RER D,GRIGNY-CENTRE,60797
334,RER,RER D,GRAND-BOURG,73627
143,Train,LIGNE H,CHAMP DE COURSES D'ENGHIEN,65663
176,Train,LIGNE N,CHAVILLE R.G,73718
140,Train,LIGNE P,CHAMPBENOIST-POIGNY,62064
131,RER,RER A,CERGY-SAINT-CHRISTOPHE,66858
322,RER,RER D,GARGES-SARCELLES,65582
185,RER,RER C,CHOISY-LE-ROI,69852
148,Train,LIGNE H,CHAPONVAL,67016
175,Train,LIGNE L,CHAVILLE R.D.,69503
464,Train,LIGNE L,L'?TANG-LA-VILLE,73603
471,Train,LIGNE R,LIVRY-SUR-SEINE,61826
482,RER,RER D,LOUVRES,69300
490,RER,RER E,MAGENTA,74000
468,RER,RER D,LIEUSAINT-MOISSY,62412
507,Train,LIGNE J,MANTES-LA-JOLIE,65931
399,Train,LIGNE L,LA GARENNE-COLOMBES,72148
390,Train,LIGNE H,LA BARRE-ORMESSON,65360
439,RER,RER A,LE V?SINET-LE PECQ,64582
417,Train,LIGNE P,LAGNY-THORIGNY,68494
551,RER,RER B,MITRY-CLAYE,69065
432,Train,LIGNE N,LE PERRAY,62804
535,Train,GRD LIGNES,MONNERVILLE,59429
621,RER,RER B,PARC DES EXPOSITIONS,73568
595,Train,LIGNE H,NOINTEL-MOURS,67227
567,Train,LIGNE P,MONTRY-COND?,68582
594,RER,RER A,NOGENT-SUR-MARNE,71590
580,RER,RER A,NANTERRE-VILLE,70940
620,RER,RER E,PANTIN,72421
568,Train,LIGNE H,MONTSOULT-MAFFLIERS,67000
657,Train,LIGNE N,PLAISIR-GRIGNON,64199
665,Train,LIGNE L,PONT-CARDINET,71475
572,Train,LIGNE P,MOUROUX,67944
576,Train,LIGNE P,NANGIS,62168
611,RER,RER C,ORLY VILLE,69639
672,RER,RER D,PONTHIERRY-PRINGY,61976
571,RER,RER D,MOULIN-GALANT,60084
938,Train,LIGNE N,SAINT-QUENTIN-EN-YVELINES,63812
964,RER,RER E,ROISSY-EN-BRIE,67839
782,Train,LIGNE J,SANNOIS,65441
712,Train,LIGNE L,PUTEAUX,71422
847,Train,LIGNE H,TAVERNY,66557
794,Train,LIGNE H,SEUGY,67180
790,RER,RER B,SCEAUX,74265
974,Train,LIGNE L,SAINT-GERMAIN-GRANDE-CEINTURE,64622
922,Train,LIGNE R,VULAINES-SUR-SEINE-SAMOREAU,61630
820,RER,RER A,SAINT-GERMAIN-EN-LAYE,64589
824,Train,LIGNE R,SAINT-MAMM?S,61423
821,RER,RER C,SAINT-GRATIEN,65305
160,Metro,1,Ch?teau de Vincennes,71634
150,Metro,8,Charenton-?coles,70648
127,Metro,7,Censier-Daubenton,71100
236,Metro,4,Denfert-Rochereau,71056
206,Metro,12,Convention,71075
323,Metro,13,Garibaldi,72128
156,Metro,9,Charonne,73647
245,Metro,6,Dupleix,71197
246,Metro,10,Duroc,71159
232,Metro,7b,Danube,71930
47,Metro,8,Balard,71073
224,Metro,8,Cr?teil-Pr?fecture (H?tel de Ville),70021
30,Metro,12,Assembl?e Nationale,73642
75,Metro,6,Bir-Hakeim (Grenelle),71219
27,Metro,11,Arts et M?tiers,71293
84,Metro,6,Boissi?re,71301
65,Metro,1,B?rault,71650
21,Metro,2,Anvers,71419
671,Metro,9,Pont de S?vres,70698
652,Metro,5,Place d'Italie,71033
669,Metro,1,Pont de Neuilly (Avenue de Madrid),71442
655,Metro,7,Place Monge (Jardin des Plantes),71133
673,Metro,7,Pont Marie (Cit? des Arts),71217
1134,Metro,4,Mairie de Montrouge,70586
453,Tramway,T4,Les Pavillons-sous-Bois,73334
996,Tramway,T4,La Remise ? Jorelle,72033
762,Metro,13,Saint-Denis-Porte de Paris,72285
754,Metro,8,Grands Boulevards (Rue Montmartre),71326
700,Metro,13,Porte de Vanves,71006
734,Metro,1,Reuilly-Diderot,71654
729,Metro,11,R?publique,71311
741,Metro,9,Robespierre,71725
716,Metro,11,Pyr?n?es,71864
873,Metro,13,Varenne,71232
839,RER,RER B,SAINT-R?MY-L?S-CHEVREUSE,62978
885,RER,RER C,VERSAILLES CHATEAU,73721
688,RER,RER C,PORTE-DE-CLICHY,71545
711,Train,LIGNE P,PROVINS,62139
796,RER,RER B,SEVRAN-LIVRY,73439
785,RER,RER A,SARTROUVILLE,64918
832,RER,RER C,SAINT-OUEN,72126
787,RER,RER D,SAVIGNY-LE-TEMPLE-NANDY,62290
975,Train,LIGNE L,SAINT-GERMAIN-BEL-AIR-FOURQUEUX,64566
911,Train,LIGNE N,VILLIERS-NEAUPHLE PONTCHARTRAIN,64057
817,Train,LIGNE P,SAINTE-COLOMBE-SEPTVEILLES,61961
915,Train,LIGNE N,VIROFLAY R.G,63923
826,RER,RER A,SAINT-MAUR-CR?TEIL,70393
815,Train,LIGNE H,SAINT-DENIS,72323
812,Train,LIGNE L,SAINT-CLOUD,73749
852,Train,LIGNE K,THIEUX-NANTOUILLET,69196
882,Train,LIGNE R,VERNOU-SUR-SEINE,61450
867,Train,LIGNE J,VAL D'ARGENTEUIL,65110
202,RER,RER A,CONFLANS-FIN-D'OISE,73605
878,Train,LIGNE J,VAUX-SUR-SEINE,66338
